,nB/n0,sigma field (MeV),omega field (MeV),rho field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Neutron chem pot,Proton chem pot,electron chem pot,muon chem pot,P (MeV/fm3),E Dens (MeV/fm3)
445,4.720000000000,84.819478641976,105.989532816429,-0.855871816220,0.000000000000,520.734951684664,284.740662684711,237.704411980617,212.935964728955,0.859481133781,0.140518866219,0.081751906722,0.058766959497,1845.076100348242,1607.371141260194,237.704959088049,237.704959088049,426.389884302248,906.095518486469
446,4.730000000000,84.843151482309,106.195980565952,-0.854347371649,0.000000000000,521.096933879925,284.960032720238,237.870455727247,213.121306555417,0.859453874883,0.140546125117,0.081750145525,0.058795979592,1847.909091476581,1610.038089023806,237.871002452775,237.871002452775,428.437841745669,908.920952144286
447,4.740000000000,84.866708791532,106.402322184208,-0.852830099974,0.000000000000,521.458432595581,285.179002903689,238.036207164495,213.306290393083,0.859426823600,0.140573176400,0.081748329096,0.058824847304,1850.740774902330,1612.704021393006,238.036753509323,238.036753509323,430.489186192914,911.750719738468
448,4.750000000000,84.890151469478,106.608557648831,-0.851319952251,0.000000000000,521.819449320175,285.397575390909,238.201667849885,213.490918229481,0.859399977769,0.140600022231,0.081746458297,0.058853563934,1853.571147215141,1615.368933399930,238.202213815210,238.202213815210,432.543911166085,914.584819265404
449,4.760000000000,84.913480406482,106.814686937852,-0.849816879988,0.000000000000,522.179985535994,285.615752317785,238.366839326572,213.675192033468,0.859373335257,0.140626664743,0.081744533979,0.058882130764,1856.400205060128,1618.032820146547,238.367384913582,238.367384913582,434.602010211982,917.423248716301
450,4.770000000000,84.936696483508,107.020710029698,-0.848320835139,0.000000000000,522.540042719093,285.833535800501,238.531723123517,213.859113755468,0.859346893957,0.140653106043,0.081742556979,0.058910549065,1859.227945137058,1620.695676803665,238.532268333394,238.532268333394,436.663476901854,920.266006077281
451,4.780000000000,84.959800572269,107.226626903195,-0.846831770101,0.000000000000,522.899622339320,286.050927935785,238.696320755673,214.042685327706,0.859320651789,0.140679348211,0.081740528121,0.058938820091,1862.054364199551,1623.357498609960,238.696865589591,238.696865589591,438.728304831146,923.113089329452
452,4.790000000000,84.982793535352,107.432437537567,-0.845349637707,0.000000000000,523.258725860338,286.267930801154,238.860633724156,214.225908664441,0.859294606699,0.140705393301,0.081738448218,0.058966945083,1864.879459054292,1626.018280871010,238.861178183282,238.861178183282,440.796487619258,925.964496449000
453,4.800000000000,85.005676226333,107.638141912439,-0.843874391222,0.000000000000,523.617354739652,286.484546455154,239.024663516418,214.408785662195,0.859268756658,0.140731243342,0.081736318073,0.058994925269,1867.703226560263,1628.678018958351,239.025207601912,239.025207601912,442.868018909300,928.820225407260
454,4.810000000000,85.028449489896,107.843740007833,-0.842405984337,0.000000000000,523.975510428628,286.700776937598,239.188411606419,214.591318199972,0.859243099665,0.140756900335,0.081734138473,0.059022761862,1870.525663627984,1631.336708308552,239.188955319433,239.188955319433,444.942892367860,931.680274170804
455,4.820000000000,85.051114161947,108.049231804174,-0.840944371163,0.000000000000,524.333194372525,286.916624269795,239.351879454790,214.773508139483,0.859217633742,0.140782366258,0.081731910197,0.059050456061,1873.346767218768,1633.994344422298,239.352422796471,239.352422796471,447.021101684761,934.544640701513
456,4.830000000000,85.073671069730,108.254617282286,-0.839489506229,0.000000000000,524.690408010509,287.132090454785,239.515068509005,214.955357325360,0.859192356935,0.140807643065,0.081729634011,0.059078009054,1876.166534343989,1636.650922863499,239.515611480491,239.515611480491,449.102640572842,937.413322956659
457,4.840000000000,85.096121031937,108.459896423396,-0.838041344476,0.000000000000,525.047152775685,287.347177477562,239.677980203538,215.136867585375,0.859167267316,0.140832732684,0.081727310670,0.059105422014,1878.984962064362,1639.306439258401,239.678522805960,239.678522805961,451.187502767727,940.286318888978
458,4.850000000000,85.118464858817,108.665069209131,-0.836599841250,0.000000000000,525.403430095121,287.561887305298,239.840615960024,215.318040730645,0.859142362980,0.140857637020,0.081724940919,0.059132696100,1881.802047489234,1641.960889294724,239.841158194510,239.841158194510,453.275682027602,943.163626446744
459,4.860000000000,85.140703352287,108.870135621522,-0.835164952301,0.000000000000,525.759241389865,287.776221887563,240.002977187421,215.498878555842,0.859117642047,0.140882357953,0.081722525492,0.059159832461,1884.617787775894,1644.614268720807,240.003519055087,240.003519055087,455.367172132997,946.045243573847
460,4.870000000000,85.162837306036,109.075095642999,-0.833736633774,0.000000000000,526.114588074979,287.990183156537,240.165065282157,215.679382839396,0.859093102659,0.140906897341,0.081720065110,0.059186832231,1887.432180128885,1647.266573344769,240.165606784116,240.165606784116,457.461966886573,948.931168209862
461,4.880000000000,85.184867505634,109.279949256399,-0.832314842210,0.000000000000,526.469471559556,288.203773027231,240.326881628293,215.859555343699,0.859068742981,0.140931257019,0.081717560486,0.059213696533,1890.245221799334,1649.917799033684,240.327422765650,240.327422765650,459.560060112905,951.821398290123
462,4.890000000000,85.206794728633,109.484696444958,-0.830899534536,0.000000000000,526.823893246747,288.416993397688,240.488427597665,216.039397815300,0.859044561202,0.140955438798,0.081715012322,0.059240426476,1893.056910084291,1652.567941712772,240.488968371519,240.488968371519,461.661445658280,954.715931745792
463,4.900000000000,85.228619744666,109.689337192319,-0.829490668063,0.000000000000,527.177854533788,288.629846149195,240.649704550038,216.218911985100,0.859020555531,0.140979444469,0.081712421310,0.059267023159,1895.867242326083,1655.216997364602,240.650244961480,240.650244961481,463.766117390489,957.614766503930
464,4.910000000000,85.250343315556,109.893871482525,-0.828088200482,0.000000000000,527.531356812020,288.842333146483,240.810713833250,216.398099568549,0.858996724201,0.141003275799,0.081709788132,0.059293487667,1898.676215911673,1657.864962028306,240.811253883367,240.811253883367,465.874069198625,960.517900487568
465,4.920000000000,85.271966195405,110.098299300024,-0.826692089860,0.000000000000,527.884401466916,289.054456237934,240.971456783357,216.576962265827,0.858973065466,0.141026934534,0.081707113460,0.059319821074,1901.483828272033,1660.511831798805,240.971996473228,240.971996473228,467.985294992882,963.425331615768
466,4.930000000000,85.293489130699,110.302620629667,-0.825302294633,0.000000000000,528.236989878104,289.266217255768,241.131934724775,216.755501762038,0.858949577601,0.141050422399,0.081704397955,0.059346024443,1904.290076881528,1663.157602826056,241.132474055472,241.132474055472,470.099788704366,966.337057803697
467,4.940000000000,85.314912860402,110.506835456711,-0.823918773605,0.000000000000,528.589123419395,289.477618016248,241.292148970417,216.933719727390,0.858926258904,0.141073741096,0.081701642271,0.059372098825,1907.094959257310,1665.802271314302,241.292687943008,241.292687943008,472.217544284898,969.253076962691
468,4.950000000000,85.336238116048,110.710943766813,-0.822541485943,0.000000000000,528.940803458800,289.688660319865,241.452100821837,217.111617817376,0.858903107690,0.141096892310,0.081698847051,0.059398045259,1909.898472958720,1668.445833521338,241.452639437382,241.452639437382,474.338555706824,972.173387000317
469,4.960000000000,85.357465621837,110.914945546037,-0.821170391171,0.000000000000,529.292031358566,289.899345951529,241.611791569359,217.289197672953,0.858880122298,0.141119877702,0.081696012929,0.059423864773,1912.700615586705,1671.088285757791,241.612329828913,241.612329828913,476.462816962833,975.097985820440
470,4.970000000000,85.378596094725,111.118840780849,-0.819805449169,0.000000000000,529.642808475188,290.109676680756,241.771222492217,217.466460920716,0.858857301085,0.141142698915,0.081693140530,0.059449558385,1915.501384783237,1673.729624386409,241.771760396828,241.771760396828,478.590322065769,978.026871323286
471,4.980000000000,85.399630244519,111.322629458120,-0.818446620165,0.000000000000,529.993136159444,290.319654261851,241.930394858681,217.643409173072,0.858834642430,0.141165357570,0.081690230469,0.059475127100,1918.300778230751,1676.369845821360,241.930932409391,241.930932409391,480.721065048454,980.960041405504
472,4.990000000000,85.420568773958,111.526311565124,-0.817093864737,0.000000000000,530.343015756411,290.529280434086,242.089309926192,217.820044028413,0.858812144730,0.141187855270,0.081687283355,0.059500571915,1921.098793651583,1679.008946527546,242.089847124037,242.089847124037,482.855039963508,983.897493960227
